ID,LEVEL_ID,ELEVATION,WINDOW_FORM,WINDOW_STYLE,WIDTH,HEIGHT,TAPERING,AREA,PERIMETER,IMPOST_LENGTH
"135742","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135743","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135744","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135745","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135746","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135747","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135748","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135749","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135750","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135751","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135752","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135753","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135754","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135755","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135756","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135757","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135758","135675","550","2","2","2200","2200","0","3.80133","6.9115","0"
"135759","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"135760","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137169","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137170","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137171","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"137172","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"137173","135675","750","2","2","1800","1800","0","2.54469","5.65487","0"
"137174","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137175","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137176","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137177","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137178","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137179","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137180","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"137181","135675","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161938","161782","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161939","161782","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161940","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161941","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161942","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161943","161782","550","2","2","2200","2200","0","3.80133","6.9115","0"
"161944","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161945","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161946","161782","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161947","161782","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161948","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161949","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161950","161782","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161951","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161952","161782","550","2","2","2200","2200","0","3.80133","6.9115","0"
"161953","161782","550","2","2","2200","2200","0","3.80133","6.9115","0"
"161954","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161955","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161956","161782","550","2","2","2200","2200","0","3.80133","6.9115","0"
"161957","161782","550","2","2","2200","2200","0","3.80133","6.9115","0"
"161958","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161959","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161960","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161968","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161969","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161970","161782","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161971","161782","900","2","2","1500","1500","0","1.76715","4.71239","0"
"161972","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161973","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161974","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161975","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161976","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161977","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161978","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161979","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"161980","161782","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162380","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162381","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162382","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162383","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162384","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162385","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162386","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162387","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162388","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162389","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162390","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162391","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162392","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162393","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162394","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162395","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162396","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162397","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162398","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162399","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162400","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162401","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162402","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162410","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162411","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162412","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162413","162068","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162414","162068","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162415","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162416","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162417","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162418","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162419","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162420","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162421","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162422","162068","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162471","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162472","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162473","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162474","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162475","162069","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162476","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162477","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162478","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162479","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162480","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162481","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162482","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162483","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162484","162069","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162485","162069","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162486","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162487","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162488","162069","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162489","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162490","162069","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162491","162069","900","2","2","1500","1500","0","1.76715","4.71239","0"
"162492","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162493","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162501","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162502","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162503","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"162504","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162505","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162506","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162507","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162508","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162509","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162510","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162511","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162512","162069","750","2","2","1800","1800","0","2.54469","5.65487","0"
"162513","162069","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163271","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163272","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163273","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163274","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163275","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163276","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163277","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163278","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163279","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163280","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
